inputGenes	preferredNames
13249.RPRC004644-PA	RPRC004644-PA
13249.RPRC004645-PA	RPRC004645-PA
13249.RPRC004650-PA	RPRC004650-PA
13249.RPRC004657-PA	RPRC004657-PA
13249.RPRC004672-PA	RPRC004672-PA
13249.RPRC004722-PA	RPRC004722-PA
13249.RPRC004736-PA	RPRC004736-PA
13249.RPRC004746-PA	RPRC004746-PA
13249.RPRC004755-PA	RPRC004755-PA
13249.RPRC004759-PA	RPRC004759-PA
13249.RPRC004780-PA	RPRC004780-PA
13249.RPRC004781-PA	RPRC004781-PA
13249.RPRC004787-PA	RPRC004787-PA
13249.RPRC004797-PA	RPRC004797-PA
13249.RPRC004819-PA	RPRC004819-PA
13249.RPRC004830-PA	RPRC004830-PA
13249.RPRC004836-PA	RPRC004836-PA
13249.RPRC004838-PA	RPRC004838-PA
13249.RPRC004840-PA	RPRC004840-PA
13249.RPRC004841-PA	RPRC004841-PA
13249.RPRC004844-PA	RPRC004844-PA
13249.RPRC004853-PA	RPRC004853-PA
13249.RPRC004874-PA	RPRC004874-PA
13249.RPRC004924-PA	RPRC004924-PA
13249.RPRC004942-PA	RPRC004942-PA
13249.RPRC004951-PA	RPRC004951-PA
13249.RPRC004961-PA	RPRC004961-PA
13249.RPRC004964-PA	RPRC004964-PA
13249.RPRC004968-PA	RPRC004968-PA
13249.RPRC004969-PA	RPRC004969-PA
13249.RPRC004986-PA	RPRC004986-PA
13249.RPRC004998-PA	RPRC004998-PA
13249.RPRC005015-PA	RPRC005015-PA
13249.RPRC005021-PA	RPRC005021-PA
13249.RPRC005029-PA	RPRC005029-PA
13249.RPRC005049-PA	RPRC005049-PA
13249.RPRC005050-PA	RPRC005050-PA
13249.RPRC005059-PA	RPRC005059-PA
13249.RPRC005070-PA	RPRC005070-PA
13249.RPRC005074-PA	RPRC005074-PA
13249.RPRC005092-PA	RPRC005092-PA
13249.RPRC005099-PA	RPRC005099-PA
13249.RPRC005103-PA	RPRC005103-PA
13249.RPRC005141-PA	RPRC005141-PA
13249.RPRC005154-PA	RPRC005154-PA
13249.RPRC005155-PA	RPRC005155-PA
13249.RPRC005164-PA	coq6
13249.RPRC005166-PA	RPRC005166-PA
13249.RPRC005186-PA	RPRC005186-PA
13249.RPRC005191-PA	RPRC005191-PA
13249.RPRC005210-PA	RPRC005210-PA
13249.RPRC005220-PA	RPRC005220-PA
13249.RPRC005228-PA	RPRC005228-PA
13249.RPRC005244-PA	RPRC005244-PA
13249.RPRC005281-PA	RPRC005281-PA
13249.RPRC005287-PA	RPRC005287-PA
13249.RPRC005288-PA	RPRC005288-PA
13249.RPRC005293-PA	RPRC005293-PA
13249.RPRC005298-PA	RPRC005298-PA
13249.RPRC005309-PA	RPRC005309-PA
13249.RPRC005315-PA	RPRC005315-PA
13249.RPRC005320-PA	RPRC005320-PA
13249.RPRC005327-PA	RPRC005327-PA
13249.RPRC005338-PA	RPRC005338-PA
13249.RPRC005381-PA	RPRC005381-PA
13249.RPRC005382-PA	RPRC005382-PA
13249.RPRC005384-PA	RPRC005384-PA
13249.RPRC005393-PA	RPRC005393-PA
13249.RPRC005394-PA	RPRC005394-PA
13249.RPRC005424-PA	RPRC005424-PA
13249.RPRC005436-PA	RPRC005436-PA
13249.RPRC005441-PA	RPRC005441-PA
13249.RPRC005443-PA	RPRC005443-PA
13249.RPRC005444-PA	RPRC005444-PA
13249.RPRC005454-PA	RPRC005454-PA
13249.RPRC005456-PA	RPRC005456-PA
13249.RPRC005477-PA	RPRC005477-PA
13249.RPRC005493-PA	RPRC005493-PA
13249.RPRC005494-PA	RPRC005494-PA
13249.RPRC005514-PA	RPRC005514-PA
13249.RPRC005523-PA	RPRC005523-PA
13249.RPRC005548-PA	RPRC005548-PA
13249.RPRC005550-PA	RPRC005550-PA
13249.RPRC005552-PA	RPRC005552-PA
13249.RPRC005553-PA	RPRC005553-PA
13249.RPRC005554-PA	RPRC005554-PA
13249.RPRC005562-PA	RPRC005562-PA
13249.RPRC005574-PA	RPRC005574-PA
13249.RPRC005592-PA	RPRC005592-PA
13249.RPRC005596-PA	RPRC005596-PA
13249.RPRC005606-PA	RPRC005606-PA
13249.RPRC005616-PA	RPRC005616-PA
13249.RPRC005617-PA	RPRC005617-PA
13249.RPRC005633-PA	RPRC005633-PA
13249.RPRC005640-PA	RPRC005640-PA
13249.RPRC005641-PA	RPRC005641-PA
13249.RPRC005652-PA	RPRC005652-PA
13249.RPRC005675-PA	RPRC005675-PA
13249.RPRC005688-PA	RPRC005688-PA
13249.RPRC005700-PA	RPRC005700-PA
13249.RPRC005705-PA	RPRC005705-PA
13249.RPRC005736-PA	RPRC005736-PA
13249.RPRC005741-PA	RPRC005741-PA
13249.RPRC005745-PA	RPRC005745-PA
13249.RPRC005748-PA	RPRC005748-PA
13249.RPRC005749-PA	RPRC005749-PA
13249.RPRC005751-PA	RPRC005751-PA
13249.RPRC005756-PA	RPRC005756-PA
13249.RPRC005781-PA	RPRC005781-PA
13249.RPRC005822-PA	RPRC005822-PA
13249.RPRC005825-PA	RPRC005825-PA
13249.RPRC005826-PA	RPRC005826-PA
13249.RPRC005845-PA	RPRC005845-PA
13249.RPRC005859-PA	RPRC005859-PA
13249.RPRC005880-PA	RPRC005880-PA
13249.RPRC005881-PA	RPRC005881-PA
13249.RPRC005882-PA	RPRC005882-PA
13249.RPRC005891-PA	RPRC005891-PA
13249.RPRC005895-PA	RPRC005895-PA
13249.RPRC005917-PA	RPRC005917-PA
13249.RPRC005959-PA	RPRC005959-PA
13249.RPRC005972-PA	RPRC005972-PA
13249.RPRC005978-PA	RPRC005978-PA
13249.RPRC005981-PA	RPRC005981-PA
13249.RPRC006017-PA	RPRC006017-PA
13249.RPRC006056-PA	RPRC006056-PA
13249.RPRC006070-PA	RPRC006070-PA
13249.RPRC006090-PA	RPRC006090-PA
13249.RPRC006091-PA	RPRC006091-PA
13249.RPRC006093-PA	RPRC006093-PA
13249.RPRC006097-PA	RPRC006097-PA
13249.RPRC006098-PA	RPRC006098-PA
13249.RPRC006104-PA	RPRC006104-PA
13249.RPRC006105-PA	RPRC006105-PA
13249.RPRC006108-PA	RPRC006108-PA
13249.RPRC006121-PA	RPRC006121-PA
13249.RPRC006156-PA	RPRC006156-PA
13249.RPRC006199-PA	RPRC006199-PA
13249.RPRC006212-PA	RPRC006212-PA
13249.RPRC006213-PA	RPRC006213-PA
13249.RPRC006216-PA	RPRC006216-PA
13249.RPRC006223-PA	RPRC006223-PA
13249.RPRC006225-PA	RPRC006225-PA
13249.RPRC006243-PA	RPRC006243-PA
13249.RPRC006246-PA	RPRC006246-PA
13249.RPRC006247-PA	RPRC006247-PA
13249.RPRC006263-PA	RPRC006263-PA
13249.RPRC006265-PA	RPRC006265-PA
13249.RPRC006275-PA	RPRC006275-PA
13249.RPRC006306-PA	RPRC006306-PA
13249.RPRC006310-PA	RPRC006310-PA
13249.RPRC006319-PA	RPRC006319-PA
13249.RPRC006352-PA	RPRC006352-PA
13249.RPRC006360-PA	RPRC006360-PA
13249.RPRC006374-PA	RPRC006374-PA
13249.RPRC006378-PA	RPRC006378-PA
13249.RPRC006396-PA	RPRC006396-PA
13249.RPRC006442-PA	RPRC006442-PA
13249.RPRC006471-PA	RPRC006471-PA
13249.RPRC006484-PA	RPRC006484-PA
13249.RPRC006491-PA	RPRC006491-PA
13249.RPRC006510-PA	RPRC006510-PA
13249.RPRC006543-PA	RPRC006543-PA
13249.RPRC006547-PA	RPRC006547-PA
13249.RPRC006550-PA	RPRC006550-PA
13249.RPRC006553-PA	RPRC006553-PA
13249.RPRC006563-PA	RPRC006563-PA
13249.RPRC006565-PA	RPRC006565-PA
13249.RPRC006576-PA	RPRC006576-PA
13249.RPRC006590-PA	RPRC006590-PA
13249.RPRC006692-PA	RPRC006692-PA
13249.RPRC006710-PA	RPRC006710-PA
13249.RPRC006711-PA	RPRC006711-PA
13249.RPRC006734-PA	RPRC006734-PA
13249.RPRC006742-PA	RPRC006742-PA
13249.RPRC006747-PA	RPRC006747-PA
13249.RPRC006752-PA	RPRC006752-PA
13249.RPRC006787-PA	RPRC006787-PA
13249.RPRC006788-PA	RPRC006788-PA
13249.RPRC006818-PA	RPRC006818-PA
13249.RPRC006835-PA	RPRC006835-PA
13249.RPRC006847-PA	RPRC006847-PA
13249.RPRC006863-PA	RPRC006863-PA
13249.RPRC006878-PA	RPRC006878-PA
13249.RPRC006889-PA	RPRC006889-PA
13249.RPRC006890-PA	RPRC006890-PA
13249.RPRC006917-PA	RPRC006917-PA
13249.RPRC006918-PA	RPRC006918-PA
13249.RPRC006919-PA	RPRC006919-PA
13249.RPRC006924-PA	RPRC006924-PA
13249.RPRC006943-PA	RPRC006943-PA
13249.RPRC006976-PA	RPRC006976-PA
13249.RPRC006985-PA	RPRC006985-PA
13249.RPRC006988-PA	RPRC006988-PA
13249.RPRC007003-PA	RPRC007003-PA
13249.RPRC007009-PA	RPRC007009-PA
13249.RPRC007019-PA	RPRC007019-PA
13249.RPRC007045-PA	RPRC007045-PA
13249.RPRC007054-PA	RPRC007054-PA
13249.RPRC007067-PA	RPRC007067-PA
13249.RPRC007096-PA	RPRC007096-PA
13249.RPRC007098-PA	RPRC007098-PA
13249.RPRC007118-PA	RPRC007118-PA
13249.RPRC007124-PA	RPRC007124-PA
13249.RPRC007136-PA	RPRC007136-PA
13249.RPRC007147-PA	RPRC007147-PA
13249.RPRC007148-PA	RPRC007148-PA
13249.RPRC007149-PA	RPRC007149-PA
13249.RPRC007152-PA	RPRC007152-PA
13249.RPRC007154-PA	RPRC007154-PA
13249.RPRC007174-PA	RPRC007174-PA
13249.RPRC007176-PA	RPRC007176-PA
13249.RPRC007186-PA	RPRC007186-PA
13249.RPRC007199-PA	RPRC007199-PA
13249.RPRC007229-PA	RPRC007229-PA
13249.RPRC007235-PA	RPRC007235-PA
13249.RPRC007289-PA	RPRC007289-PA
13249.RPRC007297-PA	RPRC007297-PA
13249.RPRC007317-PA	RPRC007317-PA
13249.RPRC007331-PA	RPRC007331-PA
13249.RPRC007341-PA	RPRC007341-PA
13249.RPRC007344-PA	RPRC007344-PA
13249.RPRC007347-PA	RPRC007347-PA
13249.RPRC007354-PA	RPRC007354-PA
13249.RPRC007362-PA	RPRC007362-PA
13249.RPRC007372-PA	RPRC007372-PA
13249.RPRC007396-PA	RPRC007396-PA
13249.RPRC007410-PA	RPRC007410-PA
13249.RPRC007426-PA	RPRC007426-PA
13249.RPRC007429-PA	RPRC007429-PA
13249.RPRC007433-PA	RPRC007433-PA
13249.RPRC007460-PA	RPRC007460-PA
13249.RPRC007461-PA	RPRC007461-PA
13249.RPRC007468-PA	RPRC007468-PA
13249.RPRC007469-PA	RPRC007469-PA
13249.RPRC007493-PA	RPRC007493-PA
13249.RPRC007495-PA	RPRC007495-PA
13249.RPRC007497-PA	RPRC007497-PA
13249.RPRC007507-PA	RPRC007507-PA
13249.RPRC007513-PA	RPRC007513-PA
13249.RPRC007521-PA	RPRC007521-PA
13249.RPRC007523-PA	RPRC007523-PA
13249.RPRC007546-PA	RPRC007546-PA
13249.RPRC007554-PA	RPRC007554-PA
13249.RPRC007555-PA	coq3
13249.RPRC007559-PA	RPRC007559-PA
13249.RPRC007587-PA	RPRC007587-PA
13249.RPRC007590-PA	RPRC007590-PA
13249.RPRC007611-PA	RPRC007611-PA
13249.RPRC007616-PA	RPRC007616-PA
13249.RPRC007627-PA	RPRC007627-PA
13249.RPRC007629-PA	RPRC007629-PA
13249.RPRC007646-PA	RPRC007646-PA
13249.RPRC007655-PA	RPRC007655-PA
13249.RPRC007686-PA	RPRC007686-PA
13249.RPRC007705-PA	RPRC007705-PA
13249.RPRC007706-PA	RPRC007706-PA
13249.RPRC007752-PA	RPRC007752-PA
13249.RPRC007778-PA	RPRC007778-PA
13249.RPRC007799-PA	RPRC007799-PA
13249.RPRC007801-PA	RPRC007801-PA
13249.RPRC007802-PA	RPRC007802-PA
13249.RPRC007806-PA	RPRC007806-PA
13249.RPRC007807-PA	RPRC007807-PA
13249.RPRC007809-PA	coq7
13249.RPRC007811-PA	RPRC007811-PA
13249.RPRC007824-PA	RPRC007824-PA
13249.RPRC007853-PA	RPRC007853-PA
13249.RPRC007884-PA	RPRC007884-PA
13249.RPRC007894-PA	RPRC007894-PA
13249.RPRC007904-PA	RPRC007904-PA
13249.RPRC007907-PA	RPRC007907-PA
13249.RPRC007933-PA	RPRC007933-PA
13249.RPRC007936-PA	RPRC007936-PA
13249.RPRC007937-PA	RPRC007937-PA
13249.RPRC007961-PA	RPRC007961-PA
