"User_input","STRINGdb ID","Species"
"R4FJG3","RPRC014881-PA","Rhodnius prolixus STRINGdb"
"R4FJG7","RPRC005058-PA","Rhodnius prolixus STRINGdb"
"R4FJH5","RPRC003268-PA","Rhodnius prolixus STRINGdb"
"R4FJI8","RPRC009473-PA","Rhodnius prolixus STRINGdb"
"R4FJJ3","RPRC011258-PA","Rhodnius prolixus STRINGdb"
"R4FJJ6","RPRC008312-PA","Rhodnius prolixus STRINGdb"
"R4FJK1","RPRC013273-PA","Rhodnius prolixus STRINGdb"
"R4FJK7","RPRC003071-PA","Rhodnius prolixus STRINGdb"
"R4FJM5","RPRC004685-PA","Rhodnius prolixus STRINGdb"
"R4FJN0","RPRC003299-PA","Rhodnius prolixus STRINGdb"
"R4FJN5","RPRC003436-PA","Rhodnius prolixus STRINGdb"
"R4FJP3","RPRC005171-PA","Rhodnius prolixus STRINGdb"
"R4FJP7","RPRC009852-PA","Rhodnius prolixus STRINGdb"
"R4FJR0","RPRC008131-PA","Rhodnius prolixus STRINGdb"
"R4FJR9","RPRC004569-PA","Rhodnius prolixus STRINGdb"
"R4FJS4","RPRC006531-PA","Rhodnius prolixus STRINGdb"
"R4FJS9","RPRC007809-PA","Rhodnius prolixus STRINGdb"
"R4FJT4","RPRC014417-PA","Rhodnius prolixus STRINGdb"
"R4FJT9","RPRC006278-PA","Rhodnius prolixus STRINGdb"
"R4FJU5","RPRC013418-PA","Rhodnius prolixus STRINGdb"
"R4FJV0","RPRC003747-PA","Rhodnius prolixus STRINGdb"
"R4FJV5","RPRC007249-PA","Rhodnius prolixus STRINGdb"
"R4FJX1","RPRC013088-PA","Rhodnius prolixus STRINGdb"
"R4FJX9","RPRC009122-PA","Rhodnius prolixus STRINGdb"
"R4FJY4","RPRC005477-PA","Rhodnius prolixus STRINGdb"
"R4FJZ0","RPRC008960-PA","Rhodnius prolixus STRINGdb"
"R4FJZ7","RPRC002657-PA","Rhodnius prolixus STRINGdb"
"R4FK07","RPRC015088-PA","Rhodnius prolixus STRINGdb"
"R4FK19","RPRC013688-PA","Rhodnius prolixus STRINGdb"
"R4FK33","RPRC009715-PA","Rhodnius prolixus STRINGdb"
"R4FK38","RPRC005164-PA","Rhodnius prolixus STRINGdb"
"R4FK40","RPRC011316-PA","Rhodnius prolixus STRINGdb"
"R4FK45","RPRC005410-PA","Rhodnius prolixus STRINGdb"
"R4FK60","RPRC010072-PA","Rhodnius prolixus STRINGdb"
"R4FK63","RPRC009760-PA","Rhodnius prolixus STRINGdb"
"R4FK66","RPRC004655-PA","Rhodnius prolixus STRINGdb"
"R4FK76","RPRC000415-PA","Rhodnius prolixus STRINGdb"
"R4FK79","RPRC005569-PA","Rhodnius prolixus STRINGdb"
"R4FK82","RPRC013250-PA","Rhodnius prolixus STRINGdb"
"R4FK84","RPRC009726-PA","Rhodnius prolixus STRINGdb"
"R4FK88","RPRC014056-PA","Rhodnius prolixus STRINGdb"
"R4FK95","RPRC005408-PA","Rhodnius prolixus STRINGdb"
"R4FK98","RPRC011969-PA","Rhodnius prolixus STRINGdb"
"R4FKA1","RPRC009230-PA","Rhodnius prolixus STRINGdb"
"R4FKB2","RPRC012548-PA","Rhodnius prolixus STRINGdb"
"R4FKB5","RPRC013141-PA","Rhodnius prolixus STRINGdb"
"R4FKC6","RPRC003007-PA","Rhodnius prolixus STRINGdb"
"R4FKD0","RPRC005844-PA","Rhodnius prolixus STRINGdb"
"R4FKD6","RPRC004826-PA","Rhodnius prolixus STRINGdb"
"R4FKE7","RPRC010871-PA","Rhodnius prolixus STRINGdb"
"R4FKF2","RPRC009775-PA","Rhodnius prolixus STRINGdb"
"R4FKG2","RPRC011418-PA","Rhodnius prolixus STRINGdb"
"R4FKG5","RPRC007840-PA","Rhodnius prolixus STRINGdb"
"R4FKH5","RPRC009073-PA","Rhodnius prolixus STRINGdb"
"R4FKI2","RPRC012905-PA","Rhodnius prolixus STRINGdb"
"R4FKI5","RPRC013475-PA","Rhodnius prolixus STRINGdb"
"R4FKJ0","RPRC005586-PA","Rhodnius prolixus STRINGdb"
"R4FKK0","RPRC006118-PA","Rhodnius prolixus STRINGdb"
"R4FKK8","RPRC015005-PA","Rhodnius prolixus STRINGdb"
"R4FKL1","RPRC009644-PA","Rhodnius prolixus STRINGdb"
"R4FKM1","RPRC004566-PA","Rhodnius prolixus STRINGdb"
"R4FKN0","RPRC007330-PA","Rhodnius prolixus STRINGdb"
"R4FKN5","RPRC007372-PA","Rhodnius prolixus STRINGdb"
"R4FKQ2","RPRC009698-PA","Rhodnius prolixus STRINGdb"
"R4FKQ9","RPRC002617-PA","Rhodnius prolixus STRINGdb"
"R4FKR3","RPRC010054-PA","Rhodnius prolixus STRINGdb"
"R4FKS5","RPRC005088-PA","Rhodnius prolixus STRINGdb"
"R4FKS8","RPRC015461-PA","Rhodnius prolixus STRINGdb"
"R4FKT2","RPRC005919-PA","Rhodnius prolixus STRINGdb"
"R4FKT4","RPRC005378-PA","Rhodnius prolixus STRINGdb"
"R4FKT6","RPRC000014-PA","Rhodnius prolixus STRINGdb"
"R4FKU1","RPRC003885-PA","Rhodnius prolixus STRINGdb"
"R4FKU6","RPRC003969-PA","Rhodnius prolixus STRINGdb"
"R4FKV2","RPRC013885-PA","Rhodnius prolixus STRINGdb"
"R4FKV7","RPRC014058-PA","Rhodnius prolixus STRINGdb"
"R4FKW0","RPRC013610-PA","Rhodnius prolixus STRINGdb"
"R4FKW1","RPRC003411-PA","Rhodnius prolixus STRINGdb"
"R4FKW5","RPRC007465-PA","Rhodnius prolixus STRINGdb"
"R4FKW6","RPRC005199-PA","Rhodnius prolixus STRINGdb"
"R4FKX0","RPRC005882-PA","Rhodnius prolixus STRINGdb"
"R4FKX3","RPRC004657-PA","Rhodnius prolixus STRINGdb"
"R4FKY2","RPRC010227-PA","Rhodnius prolixus STRINGdb"
"R4FKY8","RPRC013920-PA","Rhodnius prolixus STRINGdb"
"R4FKZ1","RPRC002310-PA","Rhodnius prolixus STRINGdb"
"R4FKZ8","RPRC009348-PA","Rhodnius prolixus STRINGdb"
"R4FL07","RPRC008341-PA","Rhodnius prolixus STRINGdb"
"R4FL09","RPRC007147-PA","Rhodnius prolixus STRINGdb"
"R4FL16","RPRC006442-PA","Rhodnius prolixus STRINGdb"
"R4FL18","RPRC013236-PA","Rhodnius prolixus STRINGdb"
"R4FL23","RPRC007341-PA","Rhodnius prolixus STRINGdb"
"R4FL29","RPRC006977-PA","Rhodnius prolixus STRINGdb"
"R4FL32","RPRC004396-PA","Rhodnius prolixus STRINGdb"
"R4FL37","RPRC009457-PA","Rhodnius prolixus STRINGdb"
"R4FL41","RPRC005506-PA","Rhodnius prolixus STRINGdb"
"R4FL42","RPRC003685-PA","Rhodnius prolixus STRINGdb"
"R4FL47","RPRC015377-PA","Rhodnius prolixus STRINGdb"
"R4FL51","RPRC011872-PA","Rhodnius prolixus STRINGdb"
"R4FL54","RPRC015390-PA","Rhodnius prolixus STRINGdb"
"R4FL62","RPRC003518-PA","Rhodnius prolixus STRINGdb"
"R4FL65","RPRC014585-PA","Rhodnius prolixus STRINGdb"
"R4FL77","RPRC006709-PA","Rhodnius prolixus STRINGdb"
"R4FL81","RPRC006537-PA","Rhodnius prolixus STRINGdb"
"R4FL82","RPRC013059-PA","Rhodnius prolixus STRINGdb"
"R4FL85","RPRC011354-PA","Rhodnius prolixus STRINGdb"
"R4FL86","RPRC013139-PA","Rhodnius prolixus STRINGdb"
"R4FL90","RPRC006112-PA","Rhodnius prolixus STRINGdb"
"R4FL91","RPRC015384-PA","Rhodnius prolixus STRINGdb"
"R4FLA7","RPRC003594-PA","Rhodnius prolixus STRINGdb"
"R4FLB0","RPRC003329-PA","Rhodnius prolixus STRINGdb"
"R4FLB3","RPRC014871-PA","Rhodnius prolixus STRINGdb"
"R4FLB4","RPRC010346-PA","Rhodnius prolixus STRINGdb"
"R4FLB9","RPRC009048-PA","Rhodnius prolixus STRINGdb"
"R4FLC0","RPRC012690-PA","Rhodnius prolixus STRINGdb"
"R4FLC5","RPRC015415-PA","Rhodnius prolixus STRINGdb"
"R4FLC6","RPRC002631-PA","Rhodnius prolixus STRINGdb"
"R4FLC9","RPRC014495-PA","Rhodnius prolixus STRINGdb"
"R4FLD4","RPRC013368-PA","Rhodnius prolixus STRINGdb"
"R4FLD6","RPRC008172-PA","Rhodnius prolixus STRINGdb"
"R4FLD8","RPRC009573-PA","Rhodnius prolixus STRINGdb"
"R4FLF0","RPRC010285-PA","Rhodnius prolixus STRINGdb"
"R4FLF4","RPRC003751-PA","Rhodnius prolixus STRINGdb"
"R4FLF6","RPRC011776-PA","Rhodnius prolixus STRINGdb"
"R4FLG1","RPRC012772-PA","Rhodnius prolixus STRINGdb"
"R4FLG7","RPRC003373-PA","Rhodnius prolixus STRINGdb"
"R4FLH1","RPRC002220-PA","Rhodnius prolixus STRINGdb"
"R4FLH4","RPRC014463-PA","Rhodnius prolixus STRINGdb"
"R4FLH7","RPRC002932-PA","Rhodnius prolixus STRINGdb"
"R4FLI0","RPRC011762-PA","Rhodnius prolixus STRINGdb"
"R4FLI2","RPRC015224-PA","Rhodnius prolixus STRINGdb"
"R4FLI4","RPRC007547-PA","Rhodnius prolixus STRINGdb"
"R4FLI9","RPRC005191-PA","Rhodnius prolixus STRINGdb"
"R4FLJ4","RPRC012885-PA","Rhodnius prolixus STRINGdb"
"R4FLJ5","RPRC008014-PA","Rhodnius prolixus STRINGdb"
"R4FLJ6","RPRC002873-PA","Rhodnius prolixus STRINGdb"
"R4FLK0","RPRC014436-PA","Rhodnius prolixus STRINGdb"
"R4FLK2","RPRC003318-PA","Rhodnius prolixus STRINGdb"
"R4FLL1","RPRC008278-PA","Rhodnius prolixus STRINGdb"
"R4FLL2","RPRC007813-PA","Rhodnius prolixus STRINGdb"
"R4FLL8","RPRC015436-PA","Rhodnius prolixus STRINGdb"
"R4FLM6","RPRC015288-PA","Rhodnius prolixus STRINGdb"
"R4FLM7","RPRC008459-PA","Rhodnius prolixus STRINGdb"
"R4FLN6","RPRC013260-PA","Rhodnius prolixus STRINGdb"
"R4FLP2","RPRC011184-PA","Rhodnius prolixus STRINGdb"
"R4FLP4","RPRC002795-PA","Rhodnius prolixus STRINGdb"
"R4FLP6","RPRC010071-PA","Rhodnius prolixus STRINGdb"
"R4FLQ4","RPRC013505-PA","Rhodnius prolixus STRINGdb"
"R4FLQ9","RPRC013174-PA","Rhodnius prolixus STRINGdb"
"R4FLR2","RPRC005974-PA","Rhodnius prolixus STRINGdb"
"R4FLR8","RPRC010412-PA","Rhodnius prolixus STRINGdb"
"R4FLS3","RPRC000039-PA","Rhodnius prolixus STRINGdb"
"R4FLS6","RPRC006365-PA","Rhodnius prolixus STRINGdb"
"R4FLT0","RPRC000066-PA","Rhodnius prolixus STRINGdb"
"R4FLT5","RPRC006107-PA","Rhodnius prolixus STRINGdb"
"R4FLT6","RPRC009647-PA","Rhodnius prolixus STRINGdb"
"R4FLU0","RPRC006443-PA","Rhodnius prolixus STRINGdb"
"R4FLU8","RPRC006892-PA","Rhodnius prolixus STRINGdb"
"R4FLV3","RPRC005772-PA","Rhodnius prolixus STRINGdb"
"R4FLV9","RPRC011582-PA","Rhodnius prolixus STRINGdb"
"R4FLW1","RPRC012689-PA","Rhodnius prolixus STRINGdb"
"R4FLW3","RPRC009290-PA","Rhodnius prolixus STRINGdb"
"R4FLW6","RPRC000040-PA","Rhodnius prolixus STRINGdb"
"R4FLX0","RPRC013070-PA","Rhodnius prolixus STRINGdb"
"R4FLX4","RPRC013346-PA","Rhodnius prolixus STRINGdb"
"R4FLX9","RPRC013721-PA","Rhodnius prolixus STRINGdb"
"R4FLY1","RPRC014158-PA","Rhodnius prolixus STRINGdb"
"R4FLY3","RPRC003683-PA","Rhodnius prolixus STRINGdb"
"R4FLZ2","RPRC003403-PA","Rhodnius prolixus STRINGdb"
"R4FLZ7","RPRC013963-PA","Rhodnius prolixus STRINGdb"
"R4FM00","RPRC010897-PA","Rhodnius prolixus STRINGdb"
"R4FM02","RPRC011075-PA","Rhodnius prolixus STRINGdb"
"R4FM11","RPRC010185-PA","Rhodnius prolixus STRINGdb"
"R4FM13","RPRC006282-PA","Rhodnius prolixus STRINGdb"
"R4FM17","RPRC008442-PA","Rhodnius prolixus STRINGdb"
"R4FM20","RPRC011341-PA","Rhodnius prolixus STRINGdb"
"R4FM21","RPRC012653-PA","Rhodnius prolixus STRINGdb"
"R4FM24","RPRC014160-PA","Rhodnius prolixus STRINGdb"
"R4FM31","RPRC003576-PA","Rhodnius prolixus STRINGdb"
"R4FM35","RPRC015028-PA","Rhodnius prolixus STRINGdb"
"R4FM37","RPRC006767-PA","Rhodnius prolixus STRINGdb"
"R4FM40","RPRC007336-PA","Rhodnius prolixus STRINGdb"
"R4FM43","RPRC006352-PA","Rhodnius prolixus STRINGdb"
"R4FM46","RPRC005734-PA","Rhodnius prolixus STRINGdb"
"R4FM47","RPRC011044-PA","Rhodnius prolixus STRINGdb"
"R4FM50","RPRC006755-PA","Rhodnius prolixus STRINGdb"
"R4FM52","RPRC008763-PA","Rhodnius prolixus STRINGdb"
"R4FM54","RPRC005821-PA","Rhodnius prolixus STRINGdb"
"R4FM56","RPRC010049-PA","Rhodnius prolixus STRINGdb"
"R4FM59","RPRC013363-PA","Rhodnius prolixus STRINGdb"
"R4FM62","RPRC013828-PA","Rhodnius prolixus STRINGdb"
"R4FM65","RPRC009551-PA","Rhodnius prolixus STRINGdb"
"R4FM69","RPRC015181-PA","Rhodnius prolixus STRINGdb"
"R4FM70","RPRC000294-PA","Rhodnius prolixus STRINGdb"
"R4FM74","RPRC014947-PA","Rhodnius prolixus STRINGdb"
"R4FM78","RPRC009354-PA","Rhodnius prolixus STRINGdb"
"R4FM81","RPRC002941-PA","Rhodnius prolixus STRINGdb"
"R4FM86","RPRC004468-PA","Rhodnius prolixus STRINGdb"
"R4FM90","RPRC012221-PA","Rhodnius prolixus STRINGdb"
"R4FM95","RPRC003875-PA","Rhodnius prolixus STRINGdb"
"R4FM97","RPRC005553-PA","Rhodnius prolixus STRINGdb"
"R4FM98","RPRC007221-PA","Rhodnius prolixus STRINGdb"
"R4FMA1","RPRC011103-PA","Rhodnius prolixus STRINGdb"
"R4FMA3","RPRC013837-PA","Rhodnius prolixus STRINGdb"
"R4FMA4","RPRC005406-PA","Rhodnius prolixus STRINGdb"
"R4FMA7","RPRC004458-PA","Rhodnius prolixus STRINGdb"
"R4FMB0","RPRC012355-PA","Rhodnius prolixus STRINGdb"
"R4FMB7","RPRC011463-PA","Rhodnius prolixus STRINGdb"
"R4FMC0","RPRC009572-PA","Rhodnius prolixus STRINGdb"
"R4FMC2","RPRC009410-PA","Rhodnius prolixus STRINGdb"
"R4FMD8","RPRC010989-PA","Rhodnius prolixus STRINGdb"
"R4FMD9","RPRC005782-PA","Rhodnius prolixus STRINGdb"
"R4FME4","RPRC009996-PA","Rhodnius prolixus STRINGdb"
"R4FMF2","RPRC005188-PA","Rhodnius prolixus STRINGdb"
"R4FMF3","RPRC004935-PA","Rhodnius prolixus STRINGdb"
"R4FMF7","RPRC013921-PA","Rhodnius prolixus STRINGdb"
"R4FMF9","RPRC011059-PA","Rhodnius prolixus STRINGdb"
"R4FMG3","RPRC005090-PA","Rhodnius prolixus STRINGdb"
"R4FMG8","RPRC007768-PA","Rhodnius prolixus STRINGdb"
"R4FMH5","RPRC012052-PA","Rhodnius prolixus STRINGdb"
"R4FMH8","RPRC003899-PA","Rhodnius prolixus STRINGdb"
"R4FMI0","RPRC013651-PA","Rhodnius prolixus STRINGdb"
"R4FMI5","RPRC013375-PA","Rhodnius prolixus STRINGdb"
"R4FMI6","RPRC011796-PA","Rhodnius prolixus STRINGdb"
"R4FMI7","RPRC011990-PA","Rhodnius prolixus STRINGdb"
"R4FMJ2","RPRC002752-PA","Rhodnius prolixus STRINGdb"
"R4FMJ4","RPRC013845-PA","Rhodnius prolixus STRINGdb"
"R4FMJ7","RPRC011127-PA","Rhodnius prolixus STRINGdb"
"R4FMK2","RPRC008247-PA","Rhodnius prolixus STRINGdb"
"R4FMK3","RPRC005059-PA","Rhodnius prolixus STRINGdb"
"R4FMK9","RPRC006913-PA","Rhodnius prolixus STRINGdb"
"R4FML1","RPRC007327-PA","Rhodnius prolixus STRINGdb"
"R4FML2","RPRC005700-PA","Rhodnius prolixus STRINGdb"
"R4FML6","RPRC004461-PA","Rhodnius prolixus STRINGdb"
"R4FML7","RPRC006378-PA","Rhodnius prolixus STRINGdb"
"R4FML9","RPRC014306-PA","Rhodnius prolixus STRINGdb"
"R4FMM2","RPRC006459-PA","Rhodnius prolixus STRINGdb"
"R4FMM3","RPRC012121-PA","Rhodnius prolixus STRINGdb"
"R4FMM6","RPRC011916-PA","Rhodnius prolixus STRINGdb"
"R4FMM7","RPRC015089-PA","Rhodnius prolixus STRINGdb"
"R4FMN6","RPRC014357-PA","Rhodnius prolixus STRINGdb"
"R4FMP1","RPRC006698-PA","Rhodnius prolixus STRINGdb"
"R4FMQ0","RPRC013077-PA","Rhodnius prolixus STRINGdb"
"R4FMQ1","RPRC011270-PA","Rhodnius prolixus STRINGdb"
"R4FMQ6","RPRC007928-PA","Rhodnius prolixus STRINGdb"
"R4FMR2","RPRC012895-PA","Rhodnius prolixus STRINGdb"
"R4FMR4","RPRC007937-PA","Rhodnius prolixus STRINGdb"
"R4FMS4","RPRC005317-PA","Rhodnius prolixus STRINGdb"
"R4FMS5","RPRC004686-PA","Rhodnius prolixus STRINGdb"
"R4FMT0","RPRC014434-PA","Rhodnius prolixus STRINGdb"
"R4FMT2","RPRC005777-PA","Rhodnius prolixus STRINGdb"
"R4FMT5","RPRC014557-PA","Rhodnius prolixus STRINGdb"
"R4FMU0","RPRC003349-PA","Rhodnius prolixus STRINGdb"
"R4FMU2","RPRC005611-PA","Rhodnius prolixus STRINGdb"
"R4FMV1","RPRC015179-PA","Rhodnius prolixus STRINGdb"
"R4FMW2","RPRC005918-PA","Rhodnius prolixus STRINGdb"
"R4FMW4","RPRC006333-PA","Rhodnius prolixus STRINGdb"
"R4FMW5","RPRC004740-PA","Rhodnius prolixus STRINGdb"
"R4FMW9","RPRC009568-PA","Rhodnius prolixus STRINGdb"
"R4FMX3","RPRC003900-PA","Rhodnius prolixus STRINGdb"
"R4FMY2","RPRC004440-PA","Rhodnius prolixus STRINGdb"
"R4FMY5","RPRC005832-PA","Rhodnius prolixus STRINGdb"
"R4FMY6","RPRC011906-PA","Rhodnius prolixus STRINGdb"
"R4FMY9","RPRC009703-PA","Rhodnius prolixus STRINGdb"
"R4FMZ5","RPRC013678-PA","Rhodnius prolixus STRINGdb"
"R4FMZ7","RPRC007845-PA","Rhodnius prolixus STRINGdb"
"R4FN01","RPRC002387-PA","Rhodnius prolixus STRINGdb"
"R4FN04","RPRC005549-PA","Rhodnius prolixus STRINGdb"
"R4FN08","RPRC004137-PA","Rhodnius prolixus STRINGdb"
"R4FN09","RPRC010939-PA","Rhodnius prolixus STRINGdb"
"R4FN11","RPRC013286-PA","Rhodnius prolixus STRINGdb"
"R4FN14","RPRC004425-PA","Rhodnius prolixus STRINGdb"
"R4FN15","RPRC015026-PA","Rhodnius prolixus STRINGdb"
"R4FN22","RPRC011029-PA","Rhodnius prolixus STRINGdb"
"R4FN30","RPRC008081-PA","Rhodnius prolixus STRINGdb"
"R4FN34","RPRC010340-PA","Rhodnius prolixus STRINGdb"
"R4FN36","RPRC015154-PA","Rhodnius prolixus STRINGdb"
"R4FN38","RPRC007136-PA","Rhodnius prolixus STRINGdb"
"R4FN39","RPRC013733-PA","Rhodnius prolixus STRINGdb"
"R4FN42","RPRC014759-PA","Rhodnius prolixus STRINGdb"
"R4FN47","RPRC012072-PA","Rhodnius prolixus STRINGdb"
"R4FN48","RPRC013967-PA","Rhodnius prolixus STRINGdb"
"R4FN52","RPRC007426-PA","Rhodnius prolixus STRINGdb"
"R4FN53","RPRC006116-PA","Rhodnius prolixus STRINGdb"
"R4FN54","RPRC011535-PA","Rhodnius prolixus STRINGdb"
"R4FN55","RPRC015147-PA","Rhodnius prolixus STRINGdb"
"R4FN63","RPRC007451-PA","Rhodnius prolixus STRINGdb"
"R4FN73","RPRC004739-PA","Rhodnius prolixus STRINGdb"
"R4FN78","RPRC010859-PA","Rhodnius prolixus STRINGdb"
"R4FN83","RPRC011189-PA","Rhodnius prolixus STRINGdb"
"R4FN87","RPRC009125-PA","Rhodnius prolixus STRINGdb"
"R4FN97","RPRC006108-PA","Rhodnius prolixus STRINGdb"
"R4FN98","RPRC013050-PA","Rhodnius prolixus STRINGdb"
"R4FNA6","RPRC009319-PA","Rhodnius prolixus STRINGdb"
"R4FNB7","RPRC002994-PA","Rhodnius prolixus STRINGdb"
"R4FNC1","RPRC013217-PA","Rhodnius prolixus STRINGdb"
"R4FNC7","RPRC010853-PA","Rhodnius prolixus STRINGdb"
"R4FND1","RPRC008760-PA","Rhodnius prolixus STRINGdb"
"R4FND4","RPRC010106-PA","Rhodnius prolixus STRINGdb"
"R4FNE4","RPRC005954-PA","Rhodnius prolixus STRINGdb"
"R4FNE7","RPRC009829-PA","Rhodnius prolixus STRINGdb"
"R4FNE8","RPRC012395-PA","Rhodnius prolixus STRINGdb"
"R4FNF2","RPRC007970-PA","Rhodnius prolixus STRINGdb"
"R4FNF3","RPRC002756-PA","Rhodnius prolixus STRINGdb"
"R4FNG2","RPRC014790-PA","Rhodnius prolixus STRINGdb"
"R4FNG6","RPRC006398-PA","Rhodnius prolixus STRINGdb"
"R4FNG7","RPRC007799-PA","Rhodnius prolixus STRINGdb"
"R4FNG8","RPRC014465-PA","Rhodnius prolixus STRINGdb"
"R4FNH8","RPRC003762-PA","Rhodnius prolixus STRINGdb"
"R4FNI1","RPRC009878-PA","Rhodnius prolixus STRINGdb"
"R4FNJ0","RPRC008373-PA","Rhodnius prolixus STRINGdb"
"R4FNJ4","RPRC012177-PA","Rhodnius prolixus STRINGdb"
"R4FNK5","RPRC010552-PA","Rhodnius prolixus STRINGdb"
"R4FNK6","RPRC002853-PA","Rhodnius prolixus STRINGdb"
"R4FNL2","RPRC002593-PA","Rhodnius prolixus STRINGdb"
"R4FNL5","RPRC005016-PA","Rhodnius prolixus STRINGdb"
"R4FNL6","RPRC014415-PA","Rhodnius prolixus STRINGdb"
"R4FNM0","RPRC003842-PA","Rhodnius prolixus STRINGdb"
"R4FNM1","RPRC007449-PA","Rhodnius prolixus STRINGdb"
"R4FNM7","RPRC014411-PA","Rhodnius prolixus STRINGdb"
"R4FNN1","RPRC009288-PA","Rhodnius prolixus STRINGdb"
"R4FNN5","RPRC010076-PA","Rhodnius prolixus STRINGdb"
"R4FNN6","RPRC011631-PA","Rhodnius prolixus STRINGdb"
"R4FNP5","RPRC012919-PA","Rhodnius prolixus STRINGdb"
"R4FNQ0","RPRC004646-PA","Rhodnius prolixus STRINGdb"
"R4FNQ3","RPRC005778-PA","Rhodnius prolixus STRINGdb"
"R4FNQ5","RPRC011596-PA","Rhodnius prolixus STRINGdb"
"R4FNQ6","RPRC003312-PA","Rhodnius prolixus STRINGdb"
"R4FNR5","RPRC008765-PA","Rhodnius prolixus STRINGdb"
"R4FNS0","RPRC007198-PA","Rhodnius prolixus STRINGdb"
"R4FNS1","RPRC009635-PA","Rhodnius prolixus STRINGdb"
"R4FNS2","RPRC005829-PA","Rhodnius prolixus STRINGdb"
"R4FNS6","RPRC010253-PA","Rhodnius prolixus STRINGdb"
"R4FNS7","RPRC011694-PA","Rhodnius prolixus STRINGdb"
"R4FNT1","RPRC004846-PA","Rhodnius prolixus STRINGdb"
"R4FNT4","RPRC004831-PA","Rhodnius prolixus STRINGdb"
"R4FNT5","RPRC004473-PA","Rhodnius prolixus STRINGdb"
"R4FNT7","RPRC002896-PA","Rhodnius prolixus STRINGdb"
"R4FNT9","RPRC002433-PA","Rhodnius prolixus STRINGdb"
"R4FNU0","RPRC012037-PA","Rhodnius prolixus STRINGdb"
"R4FNU1","RPRC014466-PA","Rhodnius prolixus STRINGdb"
"R4FNU5","RPRC012570-PA","Rhodnius prolixus STRINGdb"
"R4FNU6","RPRC008567-PA","Rhodnius prolixus STRINGdb"
"R4FNV0","RPRC005554-PA","Rhodnius prolixus STRINGdb"
"R4FNV5","RPRC014159-PA","Rhodnius prolixus STRINGdb"
"R4FNV6","RPRC002940-PA","Rhodnius prolixus STRINGdb"
"R4FNW4","RPRC000348-PA","Rhodnius prolixus STRINGdb"
"R4FNX6","RPRC014318-PA","Rhodnius prolixus STRINGdb"
"R4FNY0","RPRC007709-PA","Rhodnius prolixus STRINGdb"
"R4FNY2","RPRC012091-PA","Rhodnius prolixus STRINGdb"
"R4FNY7","RPRC009928-PA","Rhodnius prolixus STRINGdb"
"R4FNZ6","RPRC005746-PA","Rhodnius prolixus STRINGdb"
"R4FP01","RPRC013323-PA","Rhodnius prolixus STRINGdb"
"R4FP17","RPRC003020-PA","Rhodnius prolixus STRINGdb"
"R4FP18","RPRC013825-PA","Rhodnius prolixus STRINGdb"
"R4FP27","RPRC011666-PA","Rhodnius prolixus STRINGdb"
"R4FP41","RPRC005327-PA","Rhodnius prolixus STRINGdb"
"R4FP52","RPRC015082-PA","Rhodnius prolixus STRINGdb"
"R4FP61","RPRC008209-PA","Rhodnius prolixus STRINGdb"
"R4FP71","RPRC014949-PA","Rhodnius prolixus STRINGdb"
"R4FP78","RPRC004466-PA","Rhodnius prolixus STRINGdb"
