Transcript_ID	Taxon_ID
ENST00000072516	9606
ENST00000072644	9606
ENST00000072869	9606
ENST00000074304	9606
ENST00000075120	9606
ENST00000075322	9606
ENST00000075430	9606
ENST00000075503	9606
ENST00000078429	9606
ENST00000078445	9606
ENST00000078527	9606
ENST00000080059	9606
ENST00000081029	9606
ENST00000083182	9606
ENST00000084795	9606
ENST00000084798	9606
ENST00000085068	9606
ENST00000085079	9606
ENST00000085219	9606
ENST00000086933	9606
ENST00000155093	9606
ENST00000155674	9606
ENST00000155840	9606
ENST00000155858	9606
ENST00000155926	9606
ENST00000156084	9606
ENST00000156109	9606
ENST00000156471	9606
ENST00000156476	9606
ENST00000156499	9606
ENST00000156626	9606
ENST00000156825	9606
ENST00000157600	9606
ENST00000157812	9606
ENST00000158009	9606
ENST00000158166	9606
ENST00000158526	9606
ENST00000158762	9606
ENST00000158771	9606
ENST00000159060	9606
ENST00000159087	9606
ENST00000159111	9606
ENST00000159647	9606
ENST00000160262	9606
ENST00000160298	9606
ENST00000160373	9606
ENST00000160382	9606
ENST00000160713	9606
ENST00000160740	9606
ENST00000160827	9606
ENST00000161006	9606
ENST00000161559	9606
ENST00000161863	9606
ENST00000162044	9606
ENST00000162330	9606
ENST00000162391	9606
ENST00000162749	9606
ENST00000163416	9606
ENST00000163678	9606
ENST00000164024	9606
ENST00000164133	9606
ENST00000164139	9606
ENST00000164227	9606
ENST00000164247	9606
ENST00000164305	9606
ENST00000164640	9606
ENST00000165524	9606
ENST00000165698	9606
ENST00000166139	9606
ENST00000166244	9606
ENST00000166345	9606
ENST00000166534	9606
ENST00000167106	9606
ENST00000167218	9606
ENST00000167462	9606
ENST00000167586	9606
ENST00000167588	9606
ENST00000167825	9606
ENST00000168148	9606
ENST00000168216	9606
ENST00000168712	9606
ENST00000168869	9606
ENST00000168977	9606
ENST00000169293	9606
ENST00000169298	9606
ENST00000169551	9606
ENST00000170150	9606
ENST00000170168	9606
ENST00000170447	9606
ENST00000170564	9606
ENST00000170630	9606
ENST00000171111	9606
ENST00000171757	9606
ENST00000171887	9606
ENST00000172229	9606
ENST00000172853	9606
ENST00000173229	9606
ENST00000173527	9606
ENST00000173898	9606
ENST00000174618	9606
ENST00000174653	9606
ENST00000175091	9606
ENST00000175238	9606
ENST00000175506	9606
ENST00000175756	9606
ENST00000176183	9606
ENST00000176195	9606
ENST00000176643	9606
ENST00000176763	9606
ENST00000177648	9606
ENST00000177694	9606
ENST00000177742	9606
ENST00000178638	9606
ENST00000178640	9606
ENST00000179259	9606
ENST00000180166	9606
ENST00000180173	9606
ENST00000181383	9606
ENST00000181796	9606
ENST00000181839	9606
ENST00000182290	9606
ENST00000182377	9606
ENST00000182527	9606
ENST00000183605	9606
ENST00000184183	9606
ENST00000184266	9606
ENST00000184956	9606
ENST00000185150	9606
ENST00000185206	9606
ENST00000186436	9606
ENST00000187397	9606
ENST00000187608	9606
ENST00000187762	9606
ENST00000187830	9606
ENST00000187879	9606
ENST00000187910	9606
ENST00000188312	9606
ENST00000188376	9606
ENST00000188403	9606
ENST00000188790	9606
ENST00000189444	9606
ENST00000189978	9606
ENST00000190165	9606
ENST00000190611	9606
