"User_input","STRINGdb ID","Species"
"Q4CNA6","XP_803204.1","Trypanosoma cruzi STRINGdb"
"Q4CNB6","XP_803214.1","Trypanosoma cruzi STRINGdb"
"Q4CNB7","XP_803215.1","Trypanosoma cruzi STRINGdb"
"Q4CNB8","XP_803217.1","Trypanosoma cruzi STRINGdb"
"Q4CNB9","XP_803216.1","Trypanosoma cruzi STRINGdb"
"Q4CNC5","XP_803223.1","Trypanosoma cruzi STRINGdb"
"Q4CNC6","XP_803224.1","Trypanosoma cruzi STRINGdb"
"Q4CNC7","XP_803225.1","Trypanosoma cruzi STRINGdb"
"Q4CNC8","XP_803226.1","Trypanosoma cruzi STRINGdb"
"Q4CNI4","XP_803282.1","Trypanosoma cruzi STRINGdb"
"Q4CNJ0","XP_803288.1","Trypanosoma cruzi STRINGdb"
"Q4CNJ6","XP_803294.1","Trypanosoma cruzi STRINGdb"
"Q4CNJ8","XP_803296.1","Trypanosoma cruzi STRINGdb"
"Q4CNJ9","XP_803299.1","Trypanosoma cruzi STRINGdb"
"Q4CNK0","XP_803298.1","Trypanosoma cruzi STRINGdb"
"Q4CNK1","XP_803297.1","Trypanosoma cruzi STRINGdb"
"Q4CNK6","XP_803304.1","Trypanosoma cruzi STRINGdb"
"Q4CNK7","XP_803305.1","Trypanosoma cruzi STRINGdb"
"Q4CNM7","XP_803325.1","Trypanosoma cruzi STRINGdb"
"Q4CNN2","XP_803332.1","Trypanosoma cruzi STRINGdb"
"Q4CNN3","XP_803331.1","Trypanosoma cruzi STRINGdb"
"Q4CNN4","XP_803330.1","Trypanosoma cruzi STRINGdb"
"Q4CNN5","XP_803333.1","Trypanosoma cruzi STRINGdb"
"Q4CNP6","XP_803344.1","Trypanosoma cruzi STRINGdb"
"Q4CNP7","XP_803345.1","Trypanosoma cruzi STRINGdb"
"Q4CNP8","XP_803346.1","Trypanosoma cruzi STRINGdb"
"Q4CNP9","XP_803347.1","Trypanosoma cruzi STRINGdb"
"Q4CNT8","XP_803445.1","Trypanosoma cruzi STRINGdb"
"Q4CNW3","XP_803492.1","Trypanosoma cruzi STRINGdb"
"Q4CNW5","XP_803494.1","Trypanosoma cruzi STRINGdb"
"Q4CNY3","XP_803626.1","Trypanosoma cruzi STRINGdb"
"Q4CNY8","XP_803689.1","Trypanosoma cruzi STRINGdb"
"Q4CNY9","XP_803686.1","Trypanosoma cruzi STRINGdb"
"Q4CNZ0","XP_803701.1","Trypanosoma cruzi STRINGdb"
"Q4CNZ1","XP_803702.1","Trypanosoma cruzi STRINGdb"
"Q4CP03","XP_803790.1","Trypanosoma cruzi STRINGdb"
"Q4CP23","XP_803876.1","Trypanosoma cruzi STRINGdb"
"Q4CP42","XP_803895.1","Trypanosoma cruzi STRINGdb"
"Q4CP60","XP_803913.1","Trypanosoma cruzi STRINGdb"
"Q4CP73","XP_803927.1","Trypanosoma cruzi STRINGdb"
"Q4CP74","XP_803926.1","Trypanosoma cruzi STRINGdb"
"Q4CP75","XP_803928.1","Trypanosoma cruzi STRINGdb"
"Q4CPB2","XP_803965.1","Trypanosoma cruzi STRINGdb"
"Q4CPB3","XP_803966.1","Trypanosoma cruzi STRINGdb"
"Q4CPB7","XP_803970.1","Trypanosoma cruzi STRINGdb"
"Q4CPC4","XP_803977.1","Trypanosoma cruzi STRINGdb"
"Q4CPD1","XP_803984.1","Trypanosoma cruzi STRINGdb"
"Q4CPD2","XP_803985.1","Trypanosoma cruzi STRINGdb"
"Q4CPD3","XP_803986.1","Trypanosoma cruzi STRINGdb"
"Q4CPD4","XP_803987.1","Trypanosoma cruzi STRINGdb"
"Q4CPE5","XP_803998.1","Trypanosoma cruzi STRINGdb"
"Q4CPE9","XP_804003.1","Trypanosoma cruzi STRINGdb"
"Q4CPF0","XP_804002.1","Trypanosoma cruzi STRINGdb"
"Q4CPF1","XP_804004.1","Trypanosoma cruzi STRINGdb"
"Q4CPF9","XP_804011.1","Trypanosoma cruzi STRINGdb"
"Q4CPG8","XP_804023.1","Trypanosoma cruzi STRINGdb"
"Q4CPG9","XP_804022.1","Trypanosoma cruzi STRINGdb"
"Q4CPH0","XP_804021.1","Trypanosoma cruzi STRINGdb"
"Q4CPH1","XP_804024.1","Trypanosoma cruzi STRINGdb"
"Q4CPI0","XP_804035.1","Trypanosoma cruzi STRINGdb"
"Q4CPI1","XP_804034.1","Trypanosoma cruzi STRINGdb"
"Q4CPI2","XP_804033.1","Trypanosoma cruzi STRINGdb"
"Q4CPI3","XP_804036.1","Trypanosoma cruzi STRINGdb"
"Q4CPI4","XP_804038.1","Trypanosoma cruzi STRINGdb"
"Q4CPI5","XP_804037.1","Trypanosoma cruzi STRINGdb"
"Q4CPJ0","XP_804044.1","Trypanosoma cruzi STRINGdb"
"Q4CPJ1","XP_804043.1","Trypanosoma cruzi STRINGdb"
"Q4CPL4","XP_804068.1","Trypanosoma cruzi STRINGdb"
"Q4CPL5","XP_804067.1","Trypanosoma cruzi STRINGdb"
"Q4CPL7","XP_804070.1","Trypanosoma cruzi STRINGdb"
"Q4CPM2","XP_804076.1","Trypanosoma cruzi STRINGdb"
"Q4CPM3","XP_804075.1","Trypanosoma cruzi STRINGdb"
"Q4CPN3","XP_804086.1","Trypanosoma cruzi STRINGdb"
"Q4CPN4","XP_804087.1","Trypanosoma cruzi STRINGdb"
"Q4CPN5","XP_804088.1","Trypanosoma cruzi STRINGdb"
"Q4CPP2","XP_804095.1","Trypanosoma cruzi STRINGdb"
"Q4CPP3","XP_804096.1","Trypanosoma cruzi STRINGdb"
"Q4CPP4","XP_804097.1","Trypanosoma cruzi STRINGdb"
"Q4CPP5","XP_804101.1","Trypanosoma cruzi STRINGdb"
"Q4CPP6","XP_804099.1","Trypanosoma cruzi STRINGdb"
"Q4CPP7","XP_804098.1","Trypanosoma cruzi STRINGdb"
"Q4CPP8","XP_804100.1","Trypanosoma cruzi STRINGdb"
"Q4CPQ8","XP_804111.1","Trypanosoma cruzi STRINGdb"
"Q4CPS2","XP_804125.1","Trypanosoma cruzi STRINGdb"
"Q4CPT9","XP_804143.1","Trypanosoma cruzi STRINGdb"
"Q4CPU0","XP_804142.1","Trypanosoma cruzi STRINGdb"
"Q4CPU9","XP_804152.1","Trypanosoma cruzi STRINGdb"
"Q4CPW4","XP_804167.1","Trypanosoma cruzi STRINGdb"
"Q4CPX0","XP_804173.1","Trypanosoma cruzi STRINGdb"
"Q4CPX1","XP_804174.1","Trypanosoma cruzi STRINGdb"
"Q4CPX8","XP_804182.1","Trypanosoma cruzi STRINGdb"
"Q4CPX9","XP_804181.1","Trypanosoma cruzi STRINGdb"
"Q4CPY0","XP_804183.1","Trypanosoma cruzi STRINGdb"
"Q4CPY7","XP_804190.1","Trypanosoma cruzi STRINGdb"
"Q4CPZ9","XP_804202.1","Trypanosoma cruzi STRINGdb"
"Q4CQ20","XP_804223.1","Trypanosoma cruzi STRINGdb"
"Q4CQ21","XP_804224.1","Trypanosoma cruzi STRINGdb"
"Q4CQ22","XP_804225.1","Trypanosoma cruzi STRINGdb"
"Q4CQ36","XP_804239.1","Trypanosoma cruzi STRINGdb"
"Q4CQ37","XP_804240.1","Trypanosoma cruzi STRINGdb"
"Q4CQ38","XP_804241.1","Trypanosoma cruzi STRINGdb"
"Q4CQ44","XP_804247.1","Trypanosoma cruzi STRINGdb"
"Q4CQ50","XP_804253.1","Trypanosoma cruzi STRINGdb"
"Q4CQ52","XP_804256.1","Trypanosoma cruzi STRINGdb"
"Q4CQ53","XP_804255.1","Trypanosoma cruzi STRINGdb"
"Q4CQ58","XP_804261.1","Trypanosoma cruzi STRINGdb"
"Q4CQ61","XP_804264.1","Trypanosoma cruzi STRINGdb"
"Q4CQ65","XP_804269.1","Trypanosoma cruzi STRINGdb"
"Q4CQ66","XP_804268.1","Trypanosoma cruzi STRINGdb"
"Q4CQ67","XP_804270.1","Trypanosoma cruzi STRINGdb"
"Q4CQ73","XP_804276.1","Trypanosoma cruzi STRINGdb"
"Q4CQ75","XP_804278.1","Trypanosoma cruzi STRINGdb"
"Q4CQ76","XP_804282.1","Trypanosoma cruzi STRINGdb"
"Q4CQ77","XP_804281.1","Trypanosoma cruzi STRINGdb"
"Q4CQ78","XP_804280.1","Trypanosoma cruzi STRINGdb"
"Q4CQ85","XP_804289.1","Trypanosoma cruzi STRINGdb"
"Q4CQ86","XP_804288.1","Trypanosoma cruzi STRINGdb"
"Q4CQ97","XP_804300.1","Trypanosoma cruzi STRINGdb"
"Q4CQB6","XP_804319.1","Trypanosoma cruzi STRINGdb"
"Q4CQB7","XP_804320.1","Trypanosoma cruzi STRINGdb"
"Q4CQB8","XP_804321.1","Trypanosoma cruzi STRINGdb"
"Q4CQC7","XP_804330.1","Trypanosoma cruzi STRINGdb"
"Q4CQC8","XP_804331.1","Trypanosoma cruzi STRINGdb"
"Q4CQC9","XP_804332.1","Trypanosoma cruzi STRINGdb"
"Q4CQD0","XP_804334.1","Trypanosoma cruzi STRINGdb"
"Q4CQD1","XP_804335.1","Trypanosoma cruzi STRINGdb"
"Q4CQD2","XP_804333.1","Trypanosoma cruzi STRINGdb"
"Q4CQD4","XP_804338.1","Trypanosoma cruzi STRINGdb"
"Q4CQD5","XP_804337.1","Trypanosoma cruzi STRINGdb"
"Q4CQG1","XP_804369.1","Trypanosoma cruzi STRINGdb"
"Q4CQG2","XP_804368.1","Trypanosoma cruzi STRINGdb"
"Q4CQG3","XP_804367.1","Trypanosoma cruzi STRINGdb"
"Q4CQG4","XP_804366.1","Trypanosoma cruzi STRINGdb"
"Q4CQG5","XP_804365.1","Trypanosoma cruzi STRINGdb"
"Q4CQG6","XP_804364.1","Trypanosoma cruzi STRINGdb"
