"User_input","STRINGdb ID","Species"
"Q4CN25","Q4CN25","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CN29","Q4CN29","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CN34","Q4CN34","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CN35","Q4CN35","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CN36","Q4CN36","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CN59","Q4CN59","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CN73","Q4CN73","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CN76","Q4CN76","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CN77","Q4CN77","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CN79","Q4CN79","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CN93","Q4CN93","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CN94","Q4CN94","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNA6","Q4CNA6","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNB6","Q4CNB6","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNB7","Q4CNB7","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNB8","Q4CNB8","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNB9","Q4CNB9","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNC5","Q4CNC5","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNC6","Q4CNC6","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNC7","Q4CNC7","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNC8","Q4CNC8","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNI4","Q4CNI4","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNJ0","Q4CNJ0","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNJ6","Q4CNJ6","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNJ8","Q4CNJ8","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNJ9","Q4CNJ9","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNK0","Q4CNK0","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNK1","Q4CNK1","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNK6","Q4CNK6","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNK7","Q4CNK7","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNM7","Q4CNM7","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNN2","Q4CNN2","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNN3","Q4CNN3","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNN4","Q4CNN4","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNN5","Q4CNN5","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNP6","Q4CNP6","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNP7","Q4CNP7","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNP8","Q4CNP8","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNP9","Q4CNP9","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNT8","Q4CNT8","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNW3","Q4CNW3","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNW5","Q4CNW5","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNY3","Q4CNY3","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNY8","Q4CNY8","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNY9","Q4CNY9","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNZ0","Q4CNZ0","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CNZ1","Q4CNZ1","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CP03","Q4CP03","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CP23","Q4CP23","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CP42","Q4CP42","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CP60","Q4CP60","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CP73","Q4CP73","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CP74","Q4CP74","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CP75","Q4CP75","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPB2","Q4CPB2","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPB3","Q4CPB3","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPB7","Q4CPB7","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPC4","Q4CPC4","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPD1","Q4CPD1","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPD2","Q4CPD2","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CPD3","Q4CPD3","Trypanosoma cruzi strain CL Brener STRINGdb"
